name,description,latitude,longitude,city,country,category,tags,opening_hours
Taman Laut Wakatobi,"Salah satu taman laut dengan biodiversitas terumbu karang tertinggi",-5.516667,123.916667,Wakatobi,Indonesia,Bahari,"diving,snorkeling,taman laut,konservasi","{""default"": ""00:00-23:59""}"
Lawang Sewu,"Gedung bersejarah peninggalan Belanda di Semarang yang berarti 'Seribu Pintu'",-6.983611,110.410278,Semarang,Indonesia,Sejarah,"sejarah,kolonial,arsitektur,semarang","{""default"": ""07:00-21:00""}"
Pulau Derawan,"Kepulauan di Kalimantan Timur, rumah bagi penyu hijau dan danau ubur-ubur",2.283333,118.233333,Berau,Indonesia,Pulau,"pulau,penyu,diving,ubur-ubur","{""default"": ""00:00-23:59""}"
Museum Ullen Sentalu,"Museum seni dan budaya Jawa yang elegan di Kaliurang",-7.596944,110.423333,Yogyakarta,Indonesia,Museum,"museum,budaya jawa,seni,batik","{""default"": ""08:30-16:00""}"
Air Terjun Sipiso-piso,"Air terjun setinggi 120 meter yang mengalir ke Danau Toba",2.916667,98.616667,Karo,Indonesia,Alam,"air terjun,danau toba,alam,tinggi","{""default"": ""00:00-23:59""}"
Pantai Parangtritis,"Pantai di selatan Yogyakarta yang kental dengan legenda Nyi Roro Kidul",-8.026111,110.323889,Bantul,Indonesia,Pantai,"pantai,mitos,sunset,pasir hitam","{""default"": ""00:00-23:59""}"
Candi Ratu Boko,"Situs reruntuhan kompleks istana di atas bukit dengan pemandangan sunset indah",-7.770000,110.488333,Sleman,Indonesia,Sejarah,"candi,istana,sunset,sejarah","{""default"": ""06:00-17:00""}"
Jembatan Ampera,"Jembatan ikonik yang melintasi Sungai Musi di Palembang",-2.991389,104.765833,Palembang,Indonesia,Monumen,"jembatan,ikonik,sungai musi,palembang","{""default"": ""00:00-23:59""}"
Pulau Padar,"Pulau di Taman Nasional Komodo dengan pemandangan tiga teluk pantai yang menakjubkan",-8.650000,119.566667,Labuan Bajo,Indonesia,Pulau,"pulau,pemandangan,hiking,komodo","{""default"": ""06:00-18:00""}"
Sirkuit Mandalika,"Sirkuit balap internasional di kawasan wisata pantai Lombok",-8.883333,116.300000,Lombok Tengah,Indonesia,Olahraga,"sirkuit,motogp,pantai,mandalika","{""default"": ""09:00-17:00""}"
Masjid Istiqlal,"Masjid terbesar di Asia Tenggara, ikon toleransi beragama Jakarta",-6.170000,106.831111,Jakarta,Indonesia,Religi,"masjid,arsitektur,religi,jakarta","{""default"": ""04:00-21:00""}"
Green Canyon (Cukang Taneuh),"Ngarai hijau di Pangandaran untuk aktivitas body rafting",-7.733333,108.450000,Pangandaran,Indonesia,Alam,"ngarai,sungai,body rafting,petualangan","{""default"": ""07:30-16:00""}"
Trans Studio Bandung,"Taman hiburan indoor terbesar di Indonesia",-6.925556,107.635833,Bandung,Indonesia,Taman Hiburan,"indoor,wahana,keluarga,trans studio","{""default"": ""10:00-19:00""}"
Goa Pindul,"Wisata susur gua dengan ban (cave tubing) di sungai bawah tanah",-7.933333,110.650000,Gunungkidul,Indonesia,Alam,"gua,cave tubing,sungai bawah tanah,petualangan","{""default"": ""07:00-17:00""}"
Air Terjun Tumpak Sewu,"Air terjun dengan formasi tirai yang megah di Lumajang",-8.233333,112.916667,Lumajang,Indonesia,Alam,"air terjun,tirai,trekking,coban sewu","{""default"": ""07:00-15:00""}"
Kampung Warna Warni Jodipan,"Perkampungan kumuh yang diubah menjadi destinasi foto penuh warna di Malang",-7.981389,112.631667,Malang,Indonesia,Pusat Kota,"spot foto,warna warni,kreatif,kampung","{""default"": ""07:00-18:00""}"
Pantai Ora,"Pantai terpencil di Maluku dengan resort di atas air jernih",-2.833333,129.283333,Seram Utara,Indonesia,Pantai,"pantai,resort,terpencil,maladewa","{""default"": ""00:00-23:59""}"
Jam Gadang,"Menara jam ikonik hadiah dari Ratu Belanda di pusat Bukittinggi",-0.304722,100.369722,Bukittinggi,Indonesia,Monumen,"jam gadang,ikonik,sejarah,minangkabau","{""default"": ""00:00-23:59""}"
Bukit Pergasingan,"Bukit untuk soft trekking dengan pemandangan Gunung Rinjani dan petak sawah",-8.400000,116.516667,Lombok Timur,Indonesia,Alam,"bukit,trekking,pemandangan,rinjani","{""default"": ""00:00-23:59""}"
Ngarai Sianok,"Lembah curam yang hijau dan subur di perbatasan Bukittinggi",-0.300000,100.350000,Bukittinggi,Indonesia,Alam,"ngarai,lembah,pemandangan,alam","{""default"": ""00:00-23:59""}"
Pantai Plengkung (G-Land),"Salah satu spot surfing dengan ombak kiri terbaik di dunia",-8.733333,114.366667,Banyuwangi,Indonesia,Pantai,"pantai,surfing,ombak,g-land","{""default"": ""00:00-23:59""}"
Museum Nasional Indonesia,"Museum Gajah, menyimpan koleksi sejarah dan arkeologi terlengkap di Indonesia",-6.176389,106.821111,Jakarta,Indonesia,Museum,"museum,sejarah,arkeologi,budaya","{""default"": ""08:00-16:00""}"
Candi Gedong Songo,"Kompleks candi Hindu di lereng Gunung Ungaran dengan pemandangan indah",-7.216667,110.333333,Semarang,Indonesia,Sejarah,"candi,gunung,pemandangan,sejarah","{""default"": ""06:30-17:00""}"
Danau Maninjau,"Danau kaldera di Sumatera Barat yang diakses melalui jalan Kelok 44",-0.316667,100.200000,Agam,Indonesia,Danau,"danau,kaldera,kelok 44,pemandangan","{""default"": ""00:00-23:59""}"
Pemandian Air Panas Ciater,"Sumber air panas alami dari Gunung Tangkuban Perahu untuk relaksasi",-6.733333,107.650000,Subang,Indonesia,Alam,"air panas,relaksasi,keluarga,alam","{""default"": ""00:00-23:59""}"
Air Terjun Madakaripura,"Air terjun di dalam ceruk, konon tempat pertapaan Gajah Mada",-7.866667,113.000000,Probolinggo,Indonesia,Alam,"air terjun,sejarah,gajah mada,tersembunyi","{""default"": ""08:00-16:00""}"
Ancol Taman Impian,"Kompleks rekreasi terpadu di tepi laut Jakarta dengan Dunia Fantasi, Sea World, dan pantai",-6.120000,106.840000,Jakarta,Indonesia,Taman Hiburan,"rekreasi,pantai,keluarga,ancol","{""default"": ""06:00-22:00""}"
Pulau Samosir,"Pulau vulkanik di tengah Danau Toba, pusat kebudayaan Batak",2.650000,98.783333,Samosir,Indonesia,Pulau,"pulau,danau toba,budaya,batak","{""default"": ""00:00-23:59""}"
Taman Sari,"Situs bekas taman atau kebun istana Keraton Yogyakarta",-7.809444,110.359167,Yogyakarta,Indonesia,Sejarah,"taman sari,istana air,sejarah,fotografi","{""default"": ""09:00-15:00""}"
Jatim Park 3,"Taman hiburan dengan tema Dinosaurus dan teknologi modern",-7.893056,112.525556,Batu,Indonesia,Taman Hiburan,"dinosaurus,teknologi,keluarga,jatim park","{""default"": ""11:00-20:00""}"
Cukang Taneuh (Green Canyon),"Ngarai hijau di Pangandaran untuk aktivitas body rafting",-7.733333,108.450000,Pangandaran,Indonesia,Alam,"ngarai,sungai,body rafting,petualangan","{""default"": ""07:30-16:00""}"
Wae Rebo,"Desa adat terpencil di pegunungan Flores dengan rumah kerucut Mbaru Niang",-8.766667,120.283333,Flores,Indonesia,Budaya,"desa adat,terpencil,budaya,flores","{""default"": ""00:00-23:59""}"
Pulau Pahawang,"Pulau di Lampung yang populer untuk snorkeling dan wisata bahari",-5.683333,105.216667,Lampung,Indonesia,Pulau,"pulau,snorkeling,bahari,lampung","{""default"": ""00:00-23:59""}"
Sam Poo Kong,"Kelenteng bersejarah di Semarang dengan arsitektur Tionghoa-Jawa",-6.995000,110.398333,Semarang,Indonesia,Religi,"kelenteng,sejarah,tionghoa,semarang","{""default"": ""08:00-20:00""}"
The Lodge Maribaya,"Wisata alam di Lembang dengan spot foto ekstrem di hutan pinus",-6.820833,107.683333,Lembang,Indonesia,Alam,"spot foto,hutan pinus,petualangan,lembang","{""default"": ""09:00-17:00""}"
Taman Nasional Baluran,"Padang savana yang dijuluki 'Africa van Java' di Jawa Timur",-7.833333,114.383333,Situbondo,Indonesia,Alam,"savana,taman nasional,alam liar,afrika","{""default"": ""07:30-16:00""}"
Pulau Seribu,"Gugusan pulau di utara Jakarta untuk liburan singkat dan olahraga air",-5.600000,106.566667,Jakarta,Indonesia,Pulau,"pulau,snorkeling,liburan,jakarta","{""default"": ""00:00-23:59""}"
Istana Bogor,"Salah satu dari enam Istana Presiden Indonesia dengan koleksi rusa",-6.597500,106.799444,Bogor,Indonesia,Sejarah,"istana,sejarah,rusa,bogor","{""default"": ""08:00-16:00""}"
Kebun Raya Bogor,"Kebun botani luas dan tua di pusat kota Bogor",-6.598333,106.799444,Bogor,Indonesia,Alam,"kebun raya,botani,taman,sejarah","{""default"": ""08:00-16:00""}"
Gili Meno,"Pulau paling tenang di antara tiga Gili, cocok untuk bulan madu",-8.349444,116.059444,Lombok,Indonesia,Pulau,"pulau,tenang,romantis,snorkeling","{""default"": ""00:00-23:59""}"
Floating Market Lembang,"Pasar terapung buatan dengan berbagai jajanan dan wahana keluarga",-6.820278,107.618611,Lembang,Indonesia,Kuliner,"pasar terapung,kuliner,lembang,keluarga","{""default"": ""09:00-19:00""}"
Pantai Tanjung Lesung,"Kawasan wisata pantai yang telah ditetapkan sebagai Kawasan Ekonomi Khusus",-6.500000,105.666667,Pandeglang,Indonesia,Pantai,"pantai,resort,selat sunda,banten","{""default"": ""00:00-23:59""}"
Goa Gong,"Gua dengan stalaktit dan stalagmit terindah di Asia Tenggara",-8.200000,110.983333,Pacitan,Indonesia,Alam,"gua,stalaktit,alam,pacitan","{""default"": ""07:00-17:00""}"
Danau Sentani,"Danau luas di Papua dengan 22 pulau kecil dan festival tahunan",-2.600000,140.500000,Jayapura,Indonesia,Danau,"danau,budaya,festival,papua","{""default"": ""00:00-23:59""}"
Taman Nasional Ujung Kulon,"Situs Warisan Dunia UNESCO, habitat terakhir Badak Jawa",-6.750000,105.333333,Banten,Indonesia,Alam,"taman nasional,badak,konservasi,unesco","{""default"": ""08:00-17:00""}"
Pantai Kuta Lombok,"Pantai di Lombok dengan pasir putih unik berbentuk seperti merica",-8.895000,116.279444,Lombok Tengah,Indonesia,Pantai,"pantai,pasir merica,lombok,tenang","{""default"": ""00:00-23:59""}"
